account_number,bad_flag
100001,0.11125197426825725
100002,0.016384264793507932
100003,0.006324702304518051
100004,0.006983553974957597
100005,0.07791023125270258
100006,0.4446072505532245
100007,0.0060545100333986865
100008,0.007642940645995508
100009,0.06698365824705599
100010,0.029544676964550626
100011,0.0336643638364376
100012,0.12792675289310304
100013,0.014257043337687273
100014,0.0038959506962606932
100015,0.015607410363641779
100016,0.0035771741011739015
100017,0.22706890444067496
100018,0.1363268920460587
100019,0.02734553475267048
100020,0.013805972844957243
100021,0.02718632389205309
100022,0.049382747284943795
100023,0.04661119383978321
100024,0.010177602134689587
100025,0.019396279992276416
100026,0.02483465993525755
100027,0.019292618465679756
100028,0.03430236358364405
100029,0.006645676082698626
100030,0.04869881955401515
100031,0.09240050490117169
100032,0.027902182848059114
100033,0.05884197941113904
100034,0.01932757114340672
100035,0.014742920569057774
100036,0.040849406535272484
100037,0.048905195917980926
100038,0.005828376111238529
100039,0.009175394412565518
100040,0.005084203706882009
100041,0.07040011093025372
100042,0.009906827331994154
100043,0.047437338356303115
100044,0.04858653032134354
100045,0.021860702145372758
100046,0.009065776073094587
100047,0.042595579957977796
100048,0.003550360434208853
100049,0.005328927699493003
100050,0.03287853167200718
100051,0.006111483911989523
100052,0.021303701195666082
100053,0.06846779834967456
100054,0.006907161721128672
100055,0.019813958815275284
100056,0.038794942318777864
100057,0.028752137809553463
100058,0.005158070690430342
100059,0.22512816862360652
100060,0.014806856697082657
100061,0.014384934082356311
100062,0.04555577727387117
100063,0.00406334955057346
100064,0.08933377661836561
100065,0.008840508010392843
100066,0.011487855496055724
100067,0.0040310979876292926
100068,0.008318538200712
100069,0.16764818992692165
100070,0.04113109032740489
100071,0.004547085700883236
100072,0.025516822543693574
100073,0.017822768819038607
100074,0.02315360534922182
100075,0.0052065481926010775
100076,0.34850591244062995
100077,0.0038715994986731027
100078,0.021509271939335495
100079,0.010527038404227865
100080,0.00701960973324705
100081,0.009232710779232094
100082,0.009424361900210655
100083,0.03811245827349057
